University,Location
Sun Yat-sen University,"Guangzhou, China (Mainland)"
University of Turku,"Turku, Finland"
Charles University,"Prague, Czech Republic"
Indian Institute of Technology Kanpur (IITK),"Kanpur, India"
Royal Holloway University of London,"Egham, United Kingdom"
Goethe-University Frankfurt am Main,"Frankfurt, Germany"
University of Tasmania,"Hobart, Australia"
Universitas Indonesia,"Depok, Indonesia"
University of Strathclyde,"Glasgow, United Kingdom"
Universidad Carlos III de Madrid (UC3M),"Madrid, Spain"
Universiti Brunei Darussalam (UBD),"Bandar Seri Begawan, Brunei"
Universitat Polit??cnica de Catalunya ?? BarcelonaTech (UPC),"Barcelona, Spain"
University of Tartu,"Tartu, Estonia"
Moscow Institute of Physics and Technology (MIPT / Moscow Phystech),"Dolgoprudny, Russia"
University of Milan,"Milan, Italy"
University of Dundee,"Dundee, United Kingdom"
Universit?? Paris 1 Panth??on-Sorbonne,"Paris, France"
University of Massachusetts Amherst,"Amherst, United States"
Xi?€?an Jiaotong University,"Xi'an, China (Mainland)"
University of Cologne,"Cologne, Germany"
SOAS University of London,"London, United Kingdom"
University College Cork,"Cork, Ireland"
Graz University of Technology,"Graz, Austria"
ENS Paris-Saclay,"Cachan, France"
Indiana University Bloomington,"Bloomington, United States"
Heriot-Watt University,"Edinburgh, United Kingdom"
Mahidol University,"Nakhon Pathom, Thailand"
Simon Fraser University,"Burnaby, Canada"
Universit??t Mannheim,"Mannheim, Germany"
University of East Anglia (UEA),"Norwich, United Kingdom"
Friedrich-Alexander-Universit??t Erlangen-N??rnberg,"Erlangen, Germany"
Griffith University,"Nathan, Australia"
Gadjah Mada University,"Yogyakarta, Indonesia"
Gwangju Institute of Science and Technology (GIST),"Gwangju, South Korea"
HSE University,"Moscow, Russia"
Aalborg University,"Aalborg, Denmark"
Link??ping University,"Link??ping, Sweden"
University of Hawai??i at M??noa,"Honolulu, United States"
Virginia Polytechnic Institute and State University,"Blacksburg, United States"
"Birkbeck, University of London","London, United Kingdom"
National Research Nuclear University MEPhI (Moscow Engineering Physics Institute),"Moscow, Russia"
United Arab Emirates University,"Al Ain, United Arab Emirates"
Bandung Institute of Technology (ITB),"Bandung, Indonesia"
Ewha Womans University,"Seoul, South Korea"
National Taiwan Normal University,"Taipei City, Taiwan"
Hiroshima University,"Higashihiroshima City, Japan"
IE University,"Segovia, Spain"
George Washington University,"Ashburn, United States"
Universitat Polit??cnica de Val??ncia,"Val??ncia, Spain"
Jagiellonian University,"Krakow, Poland"
University of Lisbon,"Lisbon , Portugal"
Umea University,"Ume??, Sweden"
Universit??t Jena,"Jena, Germany"
University Ulm,"Ulm, Germany"
University at Buffalo SUNY,"Buffalo, United States"
Northeastern University,"Boston, United States"
Pontificia Universidad Cat??lica Argentina,"Buenos Aires, Argentina"
University of Jyv??skyl??,"Jyv??skyl??, Finland"
Westf??lische Wilhelms-Universit??t M??nster,"M??nster, Germany"
Politecnico di Torino,"Turin, Italy"
"City, University of London","London, United Kingdom"
University of Warsaw,"Warsaw, Poland"
Belarusian State University,"Minsk, Belarus"
Universit?? Grenoble Alpes,"Grenoble, France"
University of Porto,"Porto, Portugal"
University of Utah,"Salt Lake City, United States"
"University of Chemistry and Technology, Prague","Prague, Czech Republic"
Lincoln University,"Lincoln, New Zealand"
University of the Philippines,"Quezon City, Philippines"
Universidade Federal do Rio de Janeiro,"Rio de Janeiro, Brazil"
Brunel University London,United Kingdom
Norwegian University of Science And Technology,"Trondheim, Norway"
"Stony Brook University, State University of New York","Stony Brook, United States"
Tokyo Medical and Dental University (TMDU),"Tokyo, Japan"
Yeshiva University,"New York City, United States"
University of Victoria (UVic),"Victoria, Canada"
Ural Federal University - UrFU,"Ekaterinburg, Russia"
MGIMO University,"Moscow, Russia"
"University of California, Santa Cruz","Santa Cruz, United States"
Nankai University,"Tianjin, China (Mainland)"
University of Kent,"Paris, United Kingdom"
"Essex, University of","Colchester, United Kingdom"
Tilburg University,"Tilburg, Netherlands"
American University of Sharjah,"Sharjah, United Arab Emirates"
University of Kansas,"Lawrence, United States"
University of Southern Denmark (SDU),"Odense, Denmark"
University of Oulu,"Oulu, Finland"
Pakistan Institute of Engineering and Applied Sciences (PIEAS),"Islamabad, Pakistan"
Oxford Brookes University,United Kingdom
James Cook University,"Townsville, Australia"
University of Connecticut,"Storrs, United States"
Sultan Qaboos University,"Muscat, Oman"
Taipei Medical University (TMU),"Taipei City, Taiwan"
Universit?? de Strasbourg,"Strasbourg, France"
Universiti Teknologi Brunei,"Bandar Seri Begawan, Brunei"
Indian Institute of Technology Roorkee (IITR),"Roorkee, India"
Rensselaer Polytechnic Institute,"Troy, United States"
Swinburne University of Technology,"Melbourne, Australia"
Universidad de Palermo (UP),"Buenos Aires, Argentina"
National Research Tomsk Polytechnic University,Russia
University of Macau,Macau SAR
University of Trento,"Trento, Italy"
University of Pisa,"Pisa, Italy"
University of Troms?? The Arctic University of Norway,"Troms??, Norway"
Kazan (Volga region) Federal University,"Kazan, Russia"
RUDN University,"Moscow, Russia"
"University of Colorado, Denver","Denver, United States"
Kobe University,"Kobe City, Japan"
Tampere University,"Tampere, Finland"
The American University in Cairo,"Cairo, Egypt"
University of St.Gallen (HSG),"St. Gallen, Switzerland"
Wake Forest University,"Winston-Salem, United States"
Huazhong University of Science and Technology,"Wuhan, China (Mainland)"
La Trobe University,"Melbourne, Australia"
National University of Sciences And Technology (NUST) Islamabad,"Islamabad, Pakistan"
Universidad Austral,"Pilar, Argentina"
University of Witwatersrand,"Johannesburg, South Africa"
Washington State University,"Pullman, United States"
University of Coimbra,"Coimbra, Portugal"
HUFS - Hankuk (Korea) University of Foreign Studies,"Seoul, South Korea"
Sharif University of Technology,"Tehran, Iran, Islamic Republic of"
"The University of Tennessee, Knoxville","Knoxville, United States"
Johannes Gutenberg Universit??t Mainz,"Mainz, Germany"
National Sun Yat-sen University,"Kaohsiung City, Taiwan"
Chung-Ang University (CAU),"Seoul, South Korea"
Johannes Kepler University Linz,"Linz, Austria"
Shanghai University,"Shanghai, China (Mainland)"
Universit?? Laval,"Qu??bec, Canada"
"Goldsmiths, University of London","London, United Kingdom"
L.N. Gumilyov Eurasian National University (ENU),"Nur-Sultan, Kazakhstan"
Ben-Gurion University of The Negev,"Be'er Sheva, Israel"
Tulane University,"New Orleans, United States"
Illinois Institute of Technology,"Chicago, United States"
Universidade Nova de Lisboa,"Lisbon, Portugal"
University of Iowa,"Iowa City, United States"
Flinders University,"Adelaide, Australia"
University of Naples - Federico II,"Naples, Italy"
Universit??t Konstanz,"Konstanz, Germany"
National Central University,"Taoyuan City, Taiwan"
Stellenbosch University,"Stellenbosch, South Africa"
Dublin City University,"Dublin, Ireland"
Tianjin University,"Nankai, China (Mainland)"
Universit?? de Li??ge,"Arlon, Belgium"
Boston College,"Newton, United States"
Ruhr-Universit??t Bochum,"Bochum, Germany"
Universidad de Zaragoza,"Huesca, Spain"
Universidad Polit??cnica de Madrid (UPM),"Madrid, Spain"
Beijing Institute of Technology,"Beijing, China (Mainland)"
ITMO University,"St. Petersburg, Russia"
Universidad de Belgrano,"Buenos Aires, Argentina"
Peter the Great St. Petersburg Polytechnic University,"St. Petersburg, Russia"
Universidade Federal de S??o Paulo,"S??o Paulo, Brazil"
University of Saskatchewan,"Saskatoon, Canada"
Aston University,"Birmingham, United Kingdom"
Auckland University of Technology (AUT),"Auckland, New Zealand"
Bond University,"Gold Coast, Australia"
Chiba University,"Chiba City, Japan"
Colorado State University,"Fort Collins, United States"
UCSI University,Malaysia
Florida State University,"Tallahassee, United States"
Hitotsubashi University,"Kunitachi City, Japan"
University of Florence,"Florence, Italy"
Ko?? University,"Istanbul, Turkey"
The National University of Science and Technology MISIS,"Moscow, Russia"
Xiamen University,"Xiamen, China (Mainland)"
Dongguk University,"Seoul, South Korea"
National Technical University of Athens,"Athens, Greece"
Sogang University,"Seoul, South Korea"
"University of California, Riverside","Riverside, United States"
University of Bordeaux,"Talence, France"
Vilnius University,"Vilnius, Lithuania"
"University of Maryland, Baltimore County","Baltimore, United States"
Oregon State University,"Corvallis, United States"
Beihang University (former BUAA),"Beijing, China (Mainland)"
Concordia University,"Montreal, Canada"
Julius-Maximilians-Universit??t W??rzburg,"W??rzburg, Germany"
Swansea University,"Swansea, United Kingdom"
The Catholic University of Korea,"Gyeonggi, South Korea"
University of Science and Technology Beijing,"Beijing, China (Mainland)"
Brandeis University,"Waltham, United States"
Pontificia Universidad Javeriana,"Bogot??, Colombia"
Shandong University,"Jinan, China (Mainland)"
Universit??t des Saarlandes,"Saarbr??cken, Germany"
Western Sydney University,"Milperra, Australia"
Yokohama City University,"Yokohama City, Japan"
Pontificia Universidad Cat??lica del Per??,"Lima, Peru"
The University of Georgia,"Athens, United States"
University of Delhi,"New Delhi, India"
Singapore Management University,Singapore
Christian-Albrechts-University zu Kiel,"Kiel, Germany"
University of Stirling,"Stirling, United Kingdom"
South China University of Technology,"Guangzhou, China (Mainland)"
Universidad Externado de Colombia,"Bogot??, Colombia"
UNESP,"S????o Paulo, Brazil"
Universiti Teknologi PETRONAS (UTP),"Seri Iskandar, Malaysia"
Aberystwyth University,"Aberystwyth, United Kingdom"
Chang Gung University,"Taoyuan City, Taiwan"
Jilin University,"Changchun, China (Mainland)"
University of Canberra,"Bruce, Australia"
Wayne State University,"Detroit, United States"
Amirkabir University of Technology,"Tehran, Iran, Islamic Republic of"
Universidad de Santiago de Chile (USACH),"Santiago, Chile"
Indian Institute of Technology Guwahati (IITG),"Guwahati, India"
Lappeenranta-Lahti University of Technology LUT,"Lappeenranta , Finland"
Auezov South Kazakhstan University (SKU),"Shymkent, Kazakhstan"
Universidad de Montevideo (UM),"Montevideo, Uruguay"
Aix-Marseille University,"Marseille, France"
University of Delaware,"Newark, United States"
V. N. Karazin Kharkiv National University,"Kharkiv, Ukraine"
Czech Technical University in Prague,"Prague, Czech Republic"
Universit?? de Montpellier,"Montpellier, France"
University of Eastern Finland,"Kuopio, Finland"
Bilkent University,"Ankara, Turkey"
Institut National des Sciences Appliqu??es de Lyon (INSA),"Lyon, France"
King Khalid University,"Abha, Saudi Arabia"
Southeast University,"Nanjing, China (Mainland)"
Umm Al-Qura University,"Makkah, Saudi Arabia"
Universit????Cattolica del Sacro Cuore,"Milan, Italy"
Universidad de Alcal??,"Alcal?? de Henares, Spain"
Universidad de La Habana,"Havana, Cuba"
University of Johannesburg,"Johannesburg, South Africa"
University of Szeged,"Szeged, Hungary"
University of Texas Dallas,"Richardson, United States"
Iowa State University,"Ames, United States"
Martin-Luther-Universit??t Halle-Wittenberg,"Halle, Germany"
National Taipei University of Technology,"Taipei City, Taiwan"
Quaid-i-Azam University,"Islamabad, Pakistan"
Taylor's University,"Subang Jaya, Malaysia"
Universidad de Costa Rica,"San Jose, Costa Rica"
University of Granada,"Granada, Spain"
"University of Rome ""Tor Vergata""","Rome, Italy"
Universit?? Paul Sabatier Toulouse III,"Toulouse, France"
University of Ulsan,"Ulsan, South Korea"
York University,"Toronto, Canada"
Bangor University,United Kingdom
Cairo University,"Giza, Egypt"
Inha University,"Incheon, South Korea"
Justus-Liebig-University Giessen,"Giessen, Germany"
National Research Saratov State University,"Saratov, Russia"
Pusan National University,"Busan, South Korea"
Sabanci University,"Istanbul, Turkey"
Technische Universit??t Braunschweig,"Braunschweig, Germany"
Universit??t Bremen,"Bremen, Germany"
University of Limerick,"Limerick, Ireland"
Warsaw University of Technology,"Warsaw, Poland"
Clark University,"Worcester, United States"
Coventry University,"Coventry, United Kingdom"
East China Normal University,"Shanghai, China (Mainland)"
Far Eastern Federal University,"Vladivostok, Russia"
Kumamoto University,"Kumamoto City, Japan"
Nagasaki University,"Nagasaki City, Japan"
Renmin (People's) University of China,"Beijing, China (Mainland)"
Universit??t  Leipzig,"Leipzig, Germany"
University Paris 2 Panth??on-Assas,France
Abo Akademi University,"Turku, Finland"
Imam Abdulrahman Bin Faisal University (IAU) (formerly UNIVERSITY OF DAMMAM),"Dammam, Saudi Arabia"
Karl-Franzens-Universitaet Graz,"Graz, Austria"
Management and Science University,"Shah Alam, Malaysia"
Southern Federal University,"Rostov-on-Don, Russia"
Taras Shevchenko National University of Kyiv,"Kyiv, Ukraine"
University of Turin,"Turin, Italy"
University of Bayreuth,"Bayreuth, Germany"
Bar-Ilan University,"Ramat Gan, Israel"
East China University of Science and Technology,"Shanghai, China (Mainland)"
Hallym University,"Chuncheon, South Korea"
Lehigh University,"Bethlehem, United States"
Masaryk University,"Brno, Czech Republic"
National Chengchi University,"Taipei City, Taiwan"
Osaka City University,"Osaka City, Japan"
Universidad Pontificia Bolivariana,"Medell??n, Colombia"
University of Aveiro,"Aveiro, Portugal"
"University of Missouri, Columbia","Columbia, United States"
University of Pretoria,"Pretoria, South Africa"
Aristotle University of Thessaloniki,"Thessaloniki, Greece"
Drexel University,"Philadelphia, United States"
Abai Kazakh National Pedagogical University,"Almaty, Kazakhstan"
Satbayev University,"Almaty, Kazakhstan"
The New School,"New York, United States"
Okayama University,"Okayama City, Japan"
Universidad An??huac M??xico,"Huixquilucan, Mexico"
Universit?? du Qu??bec,"Qu??bec, Canada"
Saint Joseph University of Beirut (USJ),"Beirut, Lebanon"
University of Cincinnati,"Cincinnati, United States"
University of Nebraska - Lincoln,"Lincoln, United States"
University of South Carolina,"Columbia, United States"
Jeonbuk National University,"Jeonju, South Korea"
Dalian University of Technology,"Dalian, China (Mainland)"
Konkuk University,"Seoul, South Korea"
Murdoch University,"Murdoch, Australia"
University of Guelph,"Guelph, Canada"
University of Massachusetts Boston,"Boston, United States"
University of Oklahoma,"Norman, United States"
University of Vermont,"Burlington, United States"
